Dataset,Corruption,Severity,loss,accuracy,f1 score,precision,recall
GTSRB,motion_blur,3,0.6547511384295195,0.8590657165479019,0.8191554585418921,0.8257623022048675,0.8222137532729039
GTSRB,motion_blur,4,0.8674363399698729,0.8054631828978622,0.7599080601583025,0.7702553611781805,0.7629188382583226
GTSRB,motion_blur,5,1.0971485028758656,0.7515439429928741,0.7068383259901497,0.7206426408793729,0.7114926508536216
GTSRB,zoom_blur,1,0.35035450454161265,0.9341250989707047,0.903782093570016,0.9031067717854625,0.9109161603011452
GTSRB,zoom_blur,2,0.3567896564373802,0.9299287410926366,0.8984227179455755,0.8980023381478088,0.9064873476334548
GTSRB,zoom_blur,3,0.375549024706876,0.9251781472684085,0.8913524237969441,0.8929206917726416,0.8980783555095992
GTSRB,zoom_blur,4,0.4064536230916619,0.9191607284243863,0.8825498351825339,0.8813821197064612,0.8919938820681993
GTSRB,zoom_blur,5,0.45269144310867404,0.9106096595407759,0.8720145349617929,0.8699104023803821,0.8843438756502457
GTSRB,snow,1,0.3330317543310748,0.9365795724465559,0.9053760648735891,0.9074480976862664,0.9101945768439704
GTSRB,snow,2,0.32623073240640327,0.9370546318289786,0.9066992036608718,0.9071266288200643,0.9118829937242477
GTSRB,snow,3,0.38743152164736866,0.9234362628661916,0.890987558074462,0.8921737124702122,0.8976750703047467
GTSRB,snow,4,1.0847513189366764,0.7654790182106097,0.72923873676278,0.7252650520118481,0.7482863822411345
GTSRB,snow,5,2.565871319804792,0.4777513855898654,0.4331662839550397,0.4322869694236275,0.4609250741300793
GTSRB,fog,1,0.4712444826627264,0.9086302454473476,0.8792380730889001,0.8873278919186305,0.8831858027098168
GTSRB,fog,2,0.6446786613434388,0.876326207442597,0.8471223807326471,0.866891444631216,0.8486810597184712
GTSRB,fog,3,0.8974511194015578,0.8250989707046714,0.7946469887177124,0.8305114241694318,0.7925666404056191
GTSRB,fog,4,1.2189711758567525,0.7661124307205067,0.7339010974458366,0.786279125024375,0.7293221667015903
GTSRB,fog,5,1.7012070686781302,0.6774346793349169,0.6532272023159934,0.7448038922235731,0.6402634319674259
GTSRB,frost,1,0.34005966766189016,0.9343626286619161,0.9003439175906055,0.902649563346684,0.9038615367050654
GTSRB,frost,2,0.36454517584019774,0.9261282660332542,0.8926775359339717,0.8926923317390343,0.8988485603730799
GTSRB,frost,3,0.4526105342342895,0.9095803642121932,0.8767378377059752,0.8804215261701709,0.8817327349559402
